Electricity market shares,British Gas (%),EDF (%),E.ON (%),npower (%),Scottish Power (%),SSE (%),OVO Energy (%),Bulb (%),Shell Energy (%),Utilita (%),Utility Warehouse (%),Octopus Energy (%),"Co-operative
 (%)",Green Star Energy (%),Small suppliers (%)
2011 (Q1),0.25,0.13,0.17,0.14,0.11,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018 (Q4),0.19,0.11,0.13,0.08,0.10,0.13,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.08
